release_item,release_label,source,auction_id,sale_date,price_jpy,condition_evidence,identity_evidence,status,exclusion_reason,source_url
18012,Dash-1 Emperor — 1988 Original Type-1,Yahoo Auctions,,2026-04-05,33000,"unused","Dash-1 Emperor; 小鹿; Type 1; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%BF%E3%82%A4%E3%83%971/0"
18012,Dash-1 Emperor — 1988 Original Type-1,Yahoo Auctions,,2026-05-17,28500,"unbuilt; unused","No.12; 小鹿; middle-band box","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%80%E3%83%83%E3%82%B7%E3%83%A51%E5%8F%B7%20%E7%9A%87%E5%B8%9D%20%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC/0"
18023,Dash-5 Dancing Doll — 1990 Original Type-3,Yahoo Auctions,k1183505625,2025-05-06,3809,"unused; contents described clean; box age wear","18023; Type 3; 当時物","include_historical","too old to support current 3-month liquidity by itself","https://auctions.yahoo.co.jp/jp/auction/k1183505625"
18023,Dash-5 Dancing Doll — 1990 Original Type-3,Yahoo Auctions,m1205666190,2025-11-03,2750,"unbuilt; store used-stock classification; box/storage wear","TAMIYA 18023; Dash-5 D.D.","include_historical","condition quality lower; too old for current 3-month liquidity","https://auctions.yahoo.co.jp/jp/auction/m1205666190"
18030,Dash-0 Horizon — 1990 Original Zero,Yahoo Auctions,,2026-03-02,4000,"unused; unbuilt","No.30 / 18030; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%83%9B%E3%83%A9%E3%82%A4%E3%82%BE%E3%83%B3/2084250966"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-04-13,7600,"unused","初版; Zero chassis; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/0"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-04-05,3630,"unbuilt","当時物; Avante 2001 Jr.","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%BF%E3%83%9F%E3%83%A4%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/2084250263/?rs=1"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-04-04,4000,"unused; unbuilt","Series No.31; Zero chassis; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%BF%E3%83%9F%E3%83%A4%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/2084250263/?rs=1"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-03-02,4600,"unused; unbuilt","18031; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/0"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-03-01,4100,"unused; unbuilt","Series No.31; Zero chassis; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/0"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-02-28,4500,"unused; unbuilt","Series No.31; Zero chassis; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%BF%E3%83%9F%E3%83%A4%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/2084250263/?rs=1"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-01-18,5750,"unbuilt","Avante 2001 Jr.; Zero chassis","include_candidate","period wording less explicit than 初版/当時物 rows","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%BF%E3%83%9F%E3%83%A4%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/2084250263/?rs=1"
